== beautiful/freighter/lod0  voxel=0.06  triangles=64152  cells=1193175
main  cells=1161601  x[-14.16, 14.16]  y[ -7.32,  7.32]  z[-39.84, 39.00]
FLOAT cells=  6782  x[ -5.88, -2.64]  y[  2.28,  3.66]  z[-25.44, 18.42]
FLOAT cells=  4749  x[  2.94,  5.88]  y[  2.28,  3.36]  z[-25.44, 18.42]
FLOAT cells=  4674  x[  2.52,  5.64]  y[ -4.14, -3.90]  z[-27.42, -7.44]
FLOAT cells=  4662  x[ -5.64, -2.52]  y[ -4.14, -3.90]  z[-27.42, -7.44]
FLOAT cells=  3604  x[ -4.74, -3.00]  y[ -5.04, -4.80]  z[-22.92, -7.44]
FLOAT cells=  3598  x[  3.00,  4.74]  y[ -5.04, -4.80]  z[-22.92, -7.44]
FLOAT cells=   885  x[ -5.16, -4.80]  y[  3.42,  3.72]  z[-14.70, -9.78]
FLOAT cells=   881  x[  4.80,  5.16]  y[  3.42,  3.72]  z[-14.70, -9.78]
FLOAT cells=   870  x[  4.50,  5.10]  y[  2.70,  3.06]  z[  3.60,  8.52]
FLOAT cells=   869  x[ -5.10, -4.50]  y[  2.70,  3.06]  z[  3.60,  8.52]
probe-ship-islands: 10 FLOATING PART GROUP(S)
